"","kpc_control_1","kpc_control_2","kpc_control_3","kpc_knockdown_1","kpc_knockdown_2","kpc_knockdown_3"
"Acad8",26.2833232227889,9.59535856793471,18.1510549529011,17.2356313991768,18.8960054770742,13.4121752195614
"Vps26b",23.65499090051,26.2273134190215,18.5731725099453,22.5846204540938,18.0744400215492,21.0762753450251
"Ncapd3",27.5974893839284,28.1463851326085,30.3924641071832,29.1222737434367,27.1116600323239,21.0762753450251
"Jam3",33.2922094155326,31.9845285597824,35.0357572346695,28.5279416262237,32.8626182209986,44.0685757214161
"Igsf9b",10.0752739020691,11.5144302815216,12.2414091542821,9.5093138754079,8.21565455524965,10.5381376725126
"Snx19",37.234707898951,34.543290844565,36.3021099058021,55.2728869008084,37.7920109541484,53.6487008782457
"Zbtb44",5.69472003160426,11.5144302815216,10.1308213690611,4.16032482049095,11.5019163773495,6.70608760978072
"Aplp2",233.921576682821,291.698900465215,262.979238038543,240.704507471262,283.440082156113,250.999279108935
"Nfrkb",30.2258217062072,20.4700982782607,27.4376412078737,22.5846204540938,28.7547909433738,23.950312892074
"Ets1",9.6372185150226,10.2350491391304,16.8847022817684,9.5093138754079,20.5391363881241,11.4961501881955
"St3gal4",27.1594339968819,26.2273134190215,41.3675205903327,51.1125620803174,60.7958437088474,57.4807509409776
"Dcps",33.7302648025791,28.7860757038041,21.5279954092547,22.5846204540938,19.7175709325992,21.0762753450251
"Tirap",25.4072124486959,37.1020531293475,25.7491709796969,44.5749087909745,28.7547909433738,30.6564005018547
"Foxred1",27.1594339968819,19.8304077070651,21.950112966299,32.0939343295016,32.0410527654736,31.6144130175377
"Srpra",201.505478041382,185.510265646738,146.896909851385,149.771693537674,174.993442026818,151.365977477908
"Fam118b",31.1019324803002,26.2273134190215,27.0155236508295,21.3959562196678,26.2900945767989,27.7823629548058
"Rpusd4",14.4558277725339,21.1097888494564,22.3722305233432,18.4242956336028,5.75095818867476,10.5381376725126
"Cdon",24.9691570616495,25.5876228478259,22.7943480803874,21.9902883368808,22.1822672991741,30.6564005018547
